FCode,FName,F_category,servings,Kcal,Kcal_per_100
D018468,김치전골,채소류찌개.전골,270.0,197.0,72.963
D018469,꽁치김치찌개,어패류찌개.전골,270.0,241.0,89.259
D018470,꽃게탕,어패류찌개.전골,600.0,101.0,16.833
D018471,낙지전골,어패류찌개.전골,300.0,153.0,51.0
D018472,내장탕,육류찌개.전골,600.0,423.0,70.5
D018473,냉이된장찌개,채소류찌개.전골,350.0,66.0,18.857
D018474,달래된장찌개,채소류찌개.전골,350.0,122.0,34.857
D018475,닭볶음탕,육류찌개.전골,300.0,332.0,110.667
D018476,대구 매운탕,어패류찌개.전골,600.0,134.0,22.333
D018477,동태찌개,어패류찌개.전골,200.0,87.0,43.5
D018478,돼지고기김치찌개,육류찌개.전골,200.0,90.0,45.0
D018479,돼지고기찌개,육류찌개.전골,300.0,143.0,47.667
D018480,된장찌개,채소류찌개.전골,200.0,91.0,45.5
D018481,두부고추장찌개,채소류찌개.전골,500.0,261.0,52.2
D018482,두부된장찌개,채소류찌개.전골,270.0,110.0,40.741
D018483,두부쇠고기고추장찌개,육류찌개.전골,280.0,162.0,57.857
D018484,두부애호박된장찌개,채소류찌개.전골,350.0,189.0,54.0
D018485,버섯샤브샤브,채소류찌개.전골,350.0,104.0,29.714
D018486,버섯전골,채소류찌개.전골,300.0,233.0,77.667
D018487,부대찌개,육류찌개.전골,600.0,737.0,122.833
D018488,쇠고기 샤브샤브,육류찌개.전골,600.0,259.0,43.167
D018489,쇠고기된장찌개,육류찌개.전골,300.0,163.0,54.333
D018490,쇠고기전골,육류찌개.전골,300.0,187.0,62.333
D018491,순두부김치찌개,채소류찌개.전골,200.0,69.0,34.5
D018492,순두부찌개,채소류찌개.전골,200.0,85.0,42.5
D018493,알탕,어패류찌개.전골,520.0,203.0,39.038
D018494,어묵김치찌개,어패류찌개.전골,260.0,98.0,37.692
D018495,오리백숙,육류찌개.전골,300.0,335.0,111.667
D018496,오리탕,육류찌개.전골,600.0,728.0,121.333
D018497,오징어찌개,어패류찌개.전골,250.0,85.0,34.0
D018498,장어탕,어패류찌개.전골,800.0,536.0,67.0
D018499,조개된장찌개,어패류찌개.전골,300.0,68.0,22.667
D018500,참치김치찌개,어패류찌개.전골,300.0,154.0,51.333
D018501,청국장찌개,채소류찌개.전골,200.0,93.0,46.5
D018502,추어탕,어패류찌개.전골,350.0,188.0,53.714
D018503,콩나물된장찌개,채소류찌개.전골,300.0,146.0,48.667
D018504,콩비지찌개,채소류찌개.전골,400.0,275.0,68.75
D018505,해물매운탕,어패류찌개.전골,600.0,211.0,35.167
D018506,햄 김치찌개,육류찌개.전골,300.0,93.0,31.0
D018507,호박고추장찌개,채소류찌개.전골,280.0,115.0,41.071
D018508,가오리찜,어패류찜,200.0,204.0,102.0
D018509,깻잎찜,채소류찜,100.0,97.0,97.0
D018510,꼬막찜,어패류찜,200.0,192.0,96.0
D018511,꽈리고추찜,채소류찜,100.0,103.0,103.0
D018512,달걀찜(우유),기타 찜류,200.0,209.0,104.5
D018513,달걀찜,기타 찜류,200.0,116.0,58.0
D018514,닭찜,육류찜,300.0,320.0,106.667
D018515,돼지갈비찜,육류찜,300.0,581.0,193.667
D018516,돼지고기 수육,육류찜,300.0,936.0,312.0
D018517,쇠갈비찜,육류찜,300.0,256.0,85.333
D018518,쇠고기사태찜,육류찜,300.0,328.0,109.333
D018519,쇠고기수육,육류찜,300.0,498.0,166.0
D018520,순대,육류찜,220.0,410.0,186.364
D018521,아귀찜,어패류찜,200.0,168.0,84.0
D018522,애호박찜,채소류찜,100.0,181.0,181.0
D018523,족발,육류찜,250.0,582.0,232.8
D018524,코다리찜,어패류찜,200.0,188.0,94.0
D018525,풋고추찜,채소류찜,100.0,51.0,51.0
D018526,해물콩나물찜,어패류찜,200.0,111.0,55.5
D018527,간장양념닭다리튀김,육류튀김,200.0,646.0,323.0
D018528,간장양념치킨,치킨류,200.0,543.0,271.5
D018529,감자튀김,채소류튀김,150.0,467.0,311.333
D018530,고등어튀김,어패류튀김,150.0,513.0,342.0
D018531,김말이튀김,기타 튀김류,150.0,384.0,256.0
D018532,김튀김,기타 튀김류,50.0,260.0,520.0
D018533,깐풍기,육류튀김,150.0,344.0,229.333
D018534,다시마튀각,어패류튀김,50.0,230.0,460.0
D018535,닭강정,육류튀김,200.0,450.0,225.0
D018536,닭날개튀김,육류튀김,200.0,514.0,257.0
D018537,등심돈까스,육류튀김,200.0,463.0,231.5
D018538,떡강정,기타 튀김류,200.0,498.0,249.0
D018539,미역튀각,어패류튀김,50.0,221.0,442.0
D018540,새우탕수육,어패류튀김,200.0,232.0,116.0
D018541,새우튀김,어패류튀김,150.0,430.0,286.667
D018542,소시지튀김,육류튀김,200.0,707.0,353.5
